X,Y,XRESIDUAL,YRESIDUAL,ORI
599591.979408157989383,130650.590744278146303,3.403188694966957,0.499105080103618,0.00000829134104745208
600211.62154857465066,130702.381729148779414,0.924690999556333,-1.253959093970479,0.00000225197339883975
600229.64269739203155,130683.462165287885,0.159634320065379,-0.894605806402978,0.000000388826416205166
600281.222290487377904,131057.149975512598758,1.341996247647330,-0.569656480380218,0.00000325942287706226
599663.271284270798787,130838.623728124774061,0.438025074312463,-1.224170548244729,0.00000106564642440178
599669.771581351524219,130825.675981907115784,-2.839802379254252,-1.114778193907114,0.00000690947832066175
599671.09277994511649,130820.496883420055383,-2.765145407407545,-0.093910810435773,0.00000672809797203882
600049.959688656730577,130529.0404736634664,-0.048652344965376,-1.252703347025090,0.00000011864426745424
599907.640176149900071,130525.024029938795138,-0.560923900455236,-0.534379306365736,0.00000136791871319343
599473.082092210883275,130976.061546416705824,0.887574006221257,1.369109014412970,0.00000215706273008928
599832.201761267147958,130814.503854681941448,1.269161271280609,0.906439323836821,0.00000308823997258215
599831.509371159714647,130805.733579987761914,-0.225740760797635,1.871935547067551,0.000000549330017193218
601064.640208570519462,130618.353498593380209,2.627766176825389,-1.416521251318045,0.00000640372451608853
601050.331627801409923,130538.156743959421874,-0.311592327547260,-0.935049073144910,0.000000759800205480625
600984.773753585293889,131127.72840438465937,-0.468041929765604,4.345661904575536,0.00000113616223818697
600968.285195136908442,131120.25042034467333,-0.127759234281257,1.557943732419517,0.00000031015062274982
600731.869918791344389,131154.205224201199599,0.096621360513382,1.405980797717348,0.000000234499032763434
600636.585076218121685,130922.176327186389244,0.104738583671860,-0.730735439021373,0.00000025464995757721
600568.992556167650037,130679.709961281885626,0.770166614558548,-1.830026608426124,0.00000187597330520922
600439.937877540942281,130669.589580054627731,3.034156371024437,-2.711239780124743,0.00000739117626415545
600915.516523306607269,130772.27313475223491,-0.557670222013257,0.787229713052511,0.00000135741270409163
601447.748164767748676,130821.474570379315992,2.380614485824481,-1.616095346675138,0.0000057924215304496
600728.487650390597992,130609.078684465945116,1.374482377548702,-2.437295257012011,0.00000334977731678187
600756.972692069364712,130679.155057872558245,0.326664136606269,-0.756170343418489,0.00000079569250426514
600887.005057655158453,130692.631283527676715,-1.375054272473790,0.352148869889788,0.00000334902866866284
601939.621015361743048,130966.579642701937701,2.143651032121852,1.765242763518472,0.00000521007204932041
601655.355785970226862,130560.21103670654702,1.834818280767649,0.336746390006738,0.00000447334447028765
602111.636824857909232,131184.00933963683201,2.246427270700224,1.519643526902655,0.00000545081685173655
602152.230842167395167,131233.600447854027152,2.008121652295813,2.249160063714953,0.00000487074173347538
597626.980452952673659,130212.038151892673341,0.732515387120657,1.787351367616793,0.00000179067076139153
597968.652665598667227,130048.541194696881576,0.570051364018582,-1.968497942580143,0.00000139527120513295
597968.545524735469371,130059.790985329629621,0.705753542948514,-2.175949305034010,0.00000172726965210088
597987.402316653402522,130197.306283207217348,0.767369714565575,-1.178486087243073,0.0000018760861762386
598115.991194910602644,129903.016960137902061,0.638492071419023,-0.903614539245609,0.00000156453901793036
598395.30053241213318,129867.049345793988323,0.080438493750989,-2.658041942879208,0.000000197158308590607
598406.88061002723407,129815.926238165731775,2.669383904314600,0.931527655920945,0.00000654535472854529
